rank,subset_indices,subset_sensors,energy,utility_term,redundancy_term,geometry_term,symmetry_term,cardinality_term,total_energy_from_terms,left_count,right_count
14,"[2, 5, 6]","Sensor3, Sensor6, Sensor7",0.7592615078762606,-1.3166324326238037,1.5381307986526809,0.5377631418473872,0.0,0.0,0.7592615078762643,0.0,0.0
15,"[0, 3, 5]","Sensor1, Sensor4, Sensor6",0.8059770495268666,-1.0661297351006733,1.5228997926355738,0.34920699199196636,0.0,0.0,0.8059770495268669,0.0,0.0
16,"[0, 3, 6]","Sensor1, Sensor4, Sensor7",0.8318285817576125,-0.8357687481826545,1.5078424065829186,0.15975492335735086,0.0,0.0,0.831828581757615,0.0,0.0
17,"[1, 2, 3]","Sensor2, Sensor3, Sensor4",0.8446032413933224,-2.0819896009810144,1.6085259325326402,1.318066909841694,0.0,0.0,0.8446032413933198,0.0,0.0
18,"[1, 4, 5]","Sensor2, Sensor5, Sensor6",0.8839090688427902,-1.4501982408221035,1.7341063399775467,0.6000009696873482,0.0,0.0,0.8839090688427914,0.0,0.0
19,"[0, 2, 3]","Sensor1, Sensor3, Sensor4",0.9381814619336737,-1.464741186146318,1.5091740043454025,0.8937486437345925,0.0,0.0,0.938181461933677,0.0,0.0
20,"[0, 5, 6]","Sensor1, Sensor6, Sensor7",0.961972677652227,-0.9179785772447366,1.5503652156111927,0.32958603928577135,0.0,0.0,0.9619726776522274,0.0,0.0
21,"[1, 2, 4]","Sensor2, Sensor3, Sensor5",1.0791067435268644,-1.8488096918677484,1.8902672578479154,1.037649177546696,0.0,0.0,1.079106743526863,0.0,0.0
22,"[0, 4, 6]","Sensor1, Sensor5, Sensor7",1.0808144108514242,-0.6025888390693884,1.5144018507529848,0.16900139916782975,0.0,0.0,1.0808144108514262,0.0,0.0
23,"[1, 5, 7]","Sensor2, Sensor6, Sensor8",1.0822617402994865,-2.0649100904743025,1.540724811788781,0.6064470189850085,1.0,0.0,1.082261740299487,0.0,1.0
24,"[2, 3, 6]","Sensor3, Sensor4, Sensor7",1.1178837888143036,-1.2344226035617214,1.5126911275971997,0.8396152647788244,0.0,0.0,1.1178837888143027,0.0,0.0
25,"[2, 5, 7]","Sensor3, Sensor6, Sensor8",1.1755736812622501,-1.8463155310186732,1.5008533995288982,0.5210358127520226,1.0,0.0,1.1755736812622475,0.0,1.0
26,"[1, 6, 7]","Sensor2, Sensor7, Sensor8",1.2080070461060046,-1.8345491035562835,1.5205799934575288,0.5219761562047561,1.0,0.0,1.2080070461060015,0.0,1.0
27,"[0, 2, 4]","Sensor1, Sensor3, Sensor5",1.2253471132000442,-1.231561277033052,1.7922474824728971,0.6646609077602033,0.0,0.0,1.2253471132000484,0.0,0.0
28,"[2, 3, 5]","Sensor3, Sensor4, Sensor6",1.2303434084044795,-1.4647835904797404,1.55500090170018,1.1401260971840397,0.0,0.0,1.2303434084044793,0.0,0.0
29,"[2, 6, 7]","Sensor3, Sensor7, Sensor8",1.2523598242908633,-1.6159545441006542,1.511860190000733,0.3564541783907891,1.0,0.0,1.2523598242908678,0.0,1.0
30,"[1, 2, 7]","Sensor2, Sensor3, Sensor8",1.2707073092599188,-2.463521541519947,1.6091222452377631,1.1251066055421008,1.0,0.0,1.2707073092599168,0.0,1.0
31,"[0, 4, 5]","Sensor1, Sensor5, Sensor6",1.2839387437410181,-0.8329498259874073,1.6859576645447063,0.4309309051837227,0.0,0.0,1.2839387437410217,0.0,0.0
32,"[0, 2, 7]","Sensor1, Sensor3, Sensor8",1.3205126169693884,-1.8462731266852508,1.5261860514932812,0.6405996921613653,1.0,0.0,1.3205126169693957,0.0,1.0
33,"[1, 2, 9]","Sensor2, Sensor3, Sensor10",1.3770514113377317,-1.7814054405443707,1.588599662648688,0.5698571892334139,1.0,0.0,1.3770514113377312,0.0,1.0
34,"[3, 5, 6]","Sensor4, Sensor6, Sensor7",1.381619737332393,-0.8358111525160766,1.5834508485351795,0.633980041313285,0.0,0.0,1.3816197373323877,0.0,0.0
35,"[0, 5, 7]","Sensor1, Sensor6, Sensor8",1.3858563532340042,-1.4476616756396061,1.5076597179864764,0.3258583108871401,1.0,0.0,1.3858563532340105,0.0,1.0
36,"[2, 4, 6]","Sensor3, Sensor5, Sensor7",1.4627375016952584,-1.0012426944484554,1.7993192883835092,0.6646609077602034,0.0,0.0,1.462737501695257,0.0,0.0
37,"[0, 1, 9]","Sensor1, Sensor2, Sensor10",1.4662135247184196,-1.3827515851653036,1.4683458844900723,0.3806192253936508,1.0,0.0,1.4662135247184196,0.0,1.0
38,"[0, 1, 7]","Sensor1, Sensor2, Sensor8",1.5028252505915134,-2.06486768614088,1.5309315963915129,1.0367613403408829,1.0,0.0,1.5028252505915156,0.0,1.0
39,"[1, 3, 4]","Sensor2, Sensor4, Sensor5",1.5746675230539466,-1.3679884117600214,1.802529837629919,1.1401260971840395,0.0,0.0,1.574667523053937,0.0,0.0
40,"[0, 6, 7]","Sensor1, Sensor7, Sensor8",1.6009536480835536,-1.2173006887215874,1.5459188965086366,0.2723354402965064,1.0,0.0,1.6009536480835556,0.0,1.0
41,"[1, 3, 7]","Sensor2, Sensor4, Sensor8",1.6277945109595606,-1.9827002614122202,1.6620206342932897,0.9484741380784871,1.0,0.0,1.6277945109595566,0.0,1.0
42,"[0, 2, 9]","Sensor1, Sensor3, Sensor10",1.6382414712456281,-1.1641570257096743,1.5209303757850146,0.2814681211702944,1.0,0.0,1.6382414712456348,0.0,1.0
43,"[5, 6, 7]","Sensor6, Sensor7, Sensor8",1.713643921480383,-1.2173430930550095,1.5503677891417371,0.3806192253936508,1.0,0.0,1.7136439214803785,0.0,1.0
44,"[1, 4, 7]","Sensor2, Sensor5, Sensor8",1.7351747438117542,-1.7495203522989542,1.6666487394025276,0.8180463567081838,1.0,0.0,1.7351747438117573,0.0,1.0
45,"[2, 4, 5]","Sensor3, Sensor5, Sensor6",1.8041729864057743,-1.2316036813664741,1.9981274902255564,1.037649177546696,0.0,0.0,1.8041729864057783,0.0,0.0
46,"[1, 5, 9]","Sensor2, Sensor6, Sensor10",1.8071312052196618,-1.382793989498726,1.583478175733379,0.6064470189850085,1.0,0.0,1.8071312052196613,0.0,1.0
47,"[3, 6, 7]","Sensor4, Sensor7, Sensor8",1.8269980470962324,-1.1351332639929272,1.655698783824937,0.306432527264221,1.0,0.0,1.8269980470962308,0.0,1.0
48,"[0, 3, 7]","Sensor1, Sensor4, Sensor8",1.83352766298502,-1.3654518465775238,1.6625348474835113,0.536444662079029,1.0,0.0,1.8335276629850163,0.0,1.0
49,"[1, 6, 9]","Sensor2, Sensor7, Sensor10",1.837409153229764,-1.152433002580707,1.663983844923331,0.3258583108871401,1.0,0.0,1.837409153229764,0.0,1.0
50,"[3, 5, 7]","Sensor4, Sensor6, Sensor8",1.8471203791305086,-1.3654942509109462,1.6902704720953916,0.5223441579460631,1.0,0.0,1.8471203791305086,0.0,1.0
51,"[0, 3, 4]","Sensor1, Sensor4, Sensor5",1.876835737043102,-0.750739996925325,1.7879604691896047,0.8396152647788242,0.0,0.0,1.876835737043104,0.0,0.0
52,"[1, 4, 9]","Sensor2, Sensor5, Sensor10",1.8855390940203591,-1.0674042513233777,1.431907532591711,0.5210358127520227,1.0,0.0,1.885539094020356,0.0,1.0
53,"[4, 5, 6]","Sensor5, Sensor6, Sensor7",1.9172694931611218,-0.6026312434028107,1.7500634031031272,0.7698373334608095,0.0,0.0,1.917269493161126,0.0,0.0
54,"[0, 4, 7]","Sensor1, Sensor5, Sensor8",1.993570044970042,-1.1322719374642578,1.6684951054049688,0.4573468770293343,1.0,0.0,1.9935700449700453,0.0,1.0
55,"[1, 3, 9]","Sensor2, Sensor4, Sensor10",2.004563410658136,-1.3005841604366437,1.7828034131487183,0.5223441579460631,1.0,0.0,2.004563410658138,0.0,1.0
56,"[4, 6, 7]","Sensor5, Sensor7, Sensor8",2.044728490695846,-0.9019533548796613,1.6652137244052092,0.2814681211702944,1.0,0.0,2.0447284906958423,0.0,1.0
57,"[2, 3, 7]","Sensor3, Sensor4, Sensor8",2.112011367845902,-1.7641057019565909,1.6728116669987254,1.2033054028037693,1.0,0.0,2.112011367845904,0.0,1.0
58,"[3, 4, 6]","Sensor4, Sensor5, Sensor7",2.1758493023280536,-0.5204214143407284,1.8025220729341904,0.8937486437345923,0.0,0.0,2.1758493023280545,0.0,0.0
59,"[1, 6, 8]","Sensor2, Sensor7, Sensor9",2.19390526379334,-1.207659438033451,2.1012414259804855,0.30032327584630597,1.0,0.0,2.19390526379334,0.0,1.0
60,"[0, 1, 8]","Sensor1, Sensor2, Sensor9",2.202082392650688,-1.4379780206180477,2.0549640881011113,0.5850963251676247,1.0,0.0,2.2020823926506883,0.0,1.0
61,"[0, 6, 8]","Sensor1, Sensor7, Sensor9",2.2288799729935107,-0.5904110231987547,1.6742442601535006,0.14504673603876655,1.0,0.0,2.2288799729935125,0.0,1.0
62,"[2, 6, 9]","Sensor3, Sensor7, Sensor10",2.2361025115639563,-0.9338384431250778,1.7125940776597093,0.4573468770293343,1.0,0.0,2.2361025115639657,0.0,1.0
63,"[2, 5, 9]","Sensor3, Sensor6, Sensor10",2.254783726331752,-1.1641994300430967,1.6009367996666701,0.8180463567081838,1.0,0.0,2.254783726331757,0.0,1.0
64,"[0, 2, 8]","Sensor1, Sensor3, Sensor9",2.2727367811113197,-1.2193834611624184,1.8659186915608004,0.626201550712942,1.0,0.0,2.272736781111324,0.0,1.0
65,"[4, 5, 7]","Sensor5, Sensor6, Sensor8",2.293826687850469,-1.13231434179768,1.8562838404147306,0.5698571892334141,1.0,0.0,2.2938266878504647,0.0,1.0
66,"[0, 5, 9]","Sensor1, Sensor6, Sensor10",2.3221105703526064,-0.7655455746640296,1.5656799888118833,0.5219761562047561,1.0,0.0,2.32211057035261,0.0,1.0
67,"[0, 4, 9]","Sensor1, Sensor5, Sensor10",2.3553191473770667,-0.4501558364886813,1.449020805474961,0.3564541783907892,1.0,0.0,2.355319147377069,0.0,1.0
68,"[0, 5, 8]","Sensor1, Sensor6, Sensor9",2.364256879907991,-0.8207720101167737,1.8847056141784608,0.30032327584630597,1.0,0.0,2.364256879907993,0.0,1.0
69,"[2, 4, 7]","Sensor3, Sensor5, Sensor8",2.3679216336180744,-1.5309257928433249,1.9588406415364266,0.9400067849249745,1.0,0.0,2.367921633618076,0.0,1.0
70,"[1, 5, 8]","Sensor2, Sensor6, Sensor9",2.4186341597508516,-1.43802042495147,2.3701067768588584,0.48654780784346396,1.0,0.0,2.4186341597508525,0.0,1.0
71,"[0, 3, 9]","Sensor1, Sensor4, Sensor10",2.421681314882022,-0.6833357456019473,1.7985845332197488,0.306432527264221,1.0,0.0,2.421681314882022,0.0,1.0
72,"[0, 3, 8]","Sensor1, Sensor4, Sensor9",2.440512632123827,-0.7385621810546914,1.5482659749987788,0.6308088381797393,1.0,0.0,2.4405126321238266,0.0,1.0
73,"[0, 6, 9]","Sensor1, Sensor7, Sensor10",2.44174050740574,-0.5351845877460107,1.7045896548552477,0.2723354402965064,1.0,0.0,2.4417405074057434,0.0,1.0
74,"[2, 6, 8]","Sensor3, Sensor7, Sensor9",2.4912250640609557,-0.9890648785778218,1.9082217708816107,0.572068171757174,1.0,0.0,2.491225064060963,0.0,1.0
75,"[1, 2, 8]","Sensor2, Sensor3, Sensor9",2.5809033661792284,-1.8366318759971147,2.4011909541833756,1.0163442879929674,1.0,0.0,2.5809033661792284,0.0,1.0
76,"[1, 3, 8]","Sensor2, Sensor4, Sensor9",2.592751372875753,-1.3558105958893878,2.00008783068665,0.9484741380784871,1.0,0.0,2.592751372875749,0.0,1.0
77,"[3, 4, 5]","Sensor4, Sensor5, Sensor6",2.614193262101473,-0.7507824012587472,2.046908753518527,1.3180669098416937,0.0,0.0,2.614193262101473,0.0,0.0
78,"[0, 4, 8]","Sensor1, Sensor5, Sensor9",2.6731908127790973,-0.5053822719414254,1.6065049129633553,0.5720681717571738,1.0,0.0,2.6731908127791035,0.0,1.0
79,"[3, 6, 8]","Sensor4, Sensor7, Sensor9",2.7206240918632076,-0.5082435984700948,1.5980588521535628,0.6308088381797393,1.0,0.0,2.720624091863207,0.0,1.0
80,"[2, 5, 8]","Sensor3, Sensor6, Sensor9",2.764913122796365,-1.2194258654958408,2.145935512956896,0.8384034753353131,1.0,0.0,2.7649131227963686,0.0,1.0
81,"[1, 4, 8]","Sensor2, Sensor5, Sensor9",2.772767404398202,-1.1226306867761218,2.056994615839007,0.838403475335313,1.0,0.0,2.772767404398198,0.0,1.0
82,"[2, 3, 9]","Sensor3, Sensor4, Sensor10",2.843120847693818,-1.0819896009810144,1.8509244820473278,1.0741859666275064,1.0,0.0,2.84312084769382,0.0,1.0
83,"[2, 4, 9]","Sensor3, Sensor5, Sensor10",2.872626563976006,-0.8488096918677484,1.781429470918784,0.9400067849249747,1.0,0.0,2.8726265639760102,0.0,1.0
84,"[2, 3, 4]","Sensor3, Sensor4, Sensor5",2.8858363565405085,-1.149393852304392,2.117213432843247,1.918016776001655,0.0,0.0,2.8858363565405103,0.0,0.0
85,"[5, 6, 8]","Sensor6, Sensor7, Sensor9",2.9786855237825307,-0.5904534275321771,1.98404262614708,0.5850963251676247,1.0,0.0,2.9786855237825276,0.0,1.0
86,"[4, 6, 8]","Sensor5, Sensor7, Sensor9",3.0109903341330693,-0.2750636893568288,1.6598524727769544,0.6262015507129419,1.0,0.0,3.0109903341330675,0.0,1.0
87,"[4, 6, 9]","Sensor5, Sensor7, Sensor10",3.072491426099724,-0.21983725390408476,1.6517289878424442,0.6405996921613654,1.0,0.0,3.0724914260997247,0.0,1.0
88,"[3, 6, 9]","Sensor4, Sensor7, Sensor10",3.081165531990095,-0.45301716301735073,1.9977380329284171,0.536444662079029,1.0,0.0,3.0811655319900955,0.0,1.0
89,"[3, 5, 8]","Sensor4, Sensor6, Sensor9",3.0912206256615136,-0.7386045853881136,1.8813510729711382,0.9484741380784871,1.0,0.0,3.091220625661512,0.0,1.0
90,"[3, 4, 7]","Sensor4, Sensor5, Sensor8",3.13022190266301,-1.0501045127355977,2.106140448771103,1.074185966627506,1.0,0.0,3.130221902663011,0.0,1.0
91,"[3, 5, 9]","Sensor4, Sensor6, Sensor10",3.196755221820787,-0.6833781499353695,1.9316592336776677,0.9484741380784871,1.0,0.0,3.1967552218207853,0.0,1.0
92,"[5, 6, 9]","Sensor6, Sensor7, Sensor10",3.3159119715958383,-0.535226992079433,1.8143776233343867,1.0367613403408829,1.0,0.0,3.3159119715958365,0.0,1.0
93,"[2, 3, 8]","Sensor3, Sensor4, Sensor9",3.3299352518448515,-1.1372160364337585,1.8265790117500067,1.6405722765286042,1.0,0.0,3.3299352518448524,0.0,1.0
94,"[4, 5, 9]","Sensor5, Sensor6, Sensor10",3.417056981050763,-0.4501982408221036,1.7421486163307613,1.125106605542101,1.0,0.0,3.417056981050759,0.0,1.0
95,"[4, 5, 8]","Sensor5, Sensor6, Sensor9",3.610562733051715,-0.5054246762748476,2.099643121333596,1.0163442879929674,1.0,0.0,3.610562733051716,0.0,1.0
96,"[2, 4, 8]","Sensor3, Sensor5, Sensor9",3.658481316287272,-0.9040361273204924,2.164886666330827,1.3976307772769387,1.0,0.0,3.6584813162872734,0.0,1.0
97,"[3, 4, 9]","Sensor4, Sensor5, Sensor10",3.905351630641711,-0.3679884117600213,2.0700346395979636,1.203305402803769,1.0,0.0,3.9053516306417118,0.0,1.0
98,"[3, 4, 8]","Sensor4, Sensor5, Sensor9",4.07554239032909,-0.4232148472127653,1.8581849610132513,1.6405722765286037,1.0,0.0,4.0755423903290895,0.0,1.0
99,"[1, 7, 9]","Sensor2, Sensor8, Sensor10",4.4334222822653615,-1.6821161009755765,1.5090913642559325,0.6064470189850085,4.0,0.0,4.433422282265364,0.0,2.0
100,"[2, 7, 9]","Sensor3, Sensor8, Sensor10",4.593557775620795,-1.4635215415199472,1.554720740075113,0.5023585770656267,4.0,0.0,4.593557775620793,0.0,2.0
101,"[0, 7, 9]","Sensor1, Sensor8, Sensor10",4.806767273658366,-1.0648676861408801,1.5412882187697186,0.33034674102953215,4.0,0.0,4.80676727365837,0.0,2.0
102,"[0, 7, 8]","Sensor1, Sensor8, Sensor9",5.06354198255368,-1.1200941215936242,1.6130159132412007,0.570620190906105,4.0,0.0,5.063541982553682,0.0,2.0
103,"[6, 7, 8]","Sensor7, Sensor8, Sensor9",5.095798322733906,-0.8897755390090276,1.6449658056516396,0.3406080560912971,4.0,0.0,5.095798322733909,0.0,2.0
104,"[5, 7, 9]","Sensor6, Sensor8, Sensor10",5.14474029841918,-1.0649100904743025,1.603203369908477,0.6064470189850085,4.0,0.0,5.144740298419183,0.0,2.0
105,"[6, 7, 9]","Sensor7, Sensor8, Sensor10",5.218396371207291,-0.8345491035562836,1.7225987337340416,0.33034674102953215,4.0,0.0,5.21839637120729,0.0,2.0
106,"[1, 7, 8]","Sensor2, Sensor8, Sensor9",5.259553636136481,-1.7373425364283206,2.0484220344863164,0.9484741380784871,4.0,0.0,5.2595536361364825,0.0,2.0
107,"[5, 7, 8]","Sensor6, Sensor8, Sensor9",5.277149093913415,-1.1201365259270466,1.8749414618943998,0.5223441579460631,4.0,0.0,5.277149093913416,0.0,2.0
108,"[2, 7, 8]","Sensor3, Sensor8, Sensor9",5.31831557142533,-1.5187479769726913,1.8524215224702445,0.984642025927779,4.0,0.0,5.318315571425332,0.0,2.0
109,"[4, 7, 9]","Sensor5, Sensor8, Sensor10",5.390191711459906,-0.7495203522989542,1.6373534866932347,0.5023585770656267,4.0,0.0,5.390191711459908,0.0,2.0
110,"[1, 8, 9]","Sensor2, Sensor9, Sensor10",5.480473490828864,-1.055226435452744,2.013355768335545,0.5223441579460631,4.0,0.0,5.480473490828864,0.0,2.0
111,"[3, 7, 9]","Sensor4, Sensor8, Sensor10",5.4878092644590595,-0.9827002614122201,1.983961718027816,0.486547807843464,4.0,0.0,5.4878092644590595,0.0,2.0
112,"[0, 8, 9]","Sensor1, Sensor9, Sensor10",5.495846589444483,-0.4379780206180477,1.5932165539712382,0.3406080560912971,4.0,0.0,5.495846589444488,0.0,2.0
113,"[3, 7, 8]","Sensor4, Sensor8, Sensor9",5.596903067639715,-1.037926696864964,1.6863556264261916,0.9484741380784871,4.0,0.0,5.5969030676397145,0.0,2.0
114,"[4, 7, 8]","Sensor5, Sensor8, Sensor9",5.7983258628007945,-0.8047467877516983,1.7475500608009744,0.8555225897515162,4.0,0.0,5.798325862800793,0.0,2.0
115,"[2, 8, 9]","Sensor3, Sensor9, Sensor10",5.893576006267054,-0.8366318759971147,1.874685292512647,0.8555225897515163,4.0,0.0,5.893576006267049,0.0,2.0
116,"[6, 8, 9]","Sensor7, Sensor9, Sensor10",6.194116762621576,-0.20765943803345113,1.83115600974892,0.570620190906105,4.0,0.0,6.194116762621574,0.0,2.0
117,"[4, 8, 9]","Sensor5, Sensor9, Sensor10",6.417606545773289,-0.12263068677612168,1.5555952066216356,0.984642025927779,4.0,0.0,6.4176065457732925,0.0,2.0
118,"[3, 8, 9]","Sensor4, Sensor9, Sensor10",6.442588300102194,-0.3558105958893876,1.8499247579130982,0.9484741380784871,4.0,0.0,6.442588300102198,0.0,2.0
119,"[5, 8, 9]","Sensor6, Sensor9, Sensor10",6.470934891597494,-0.4380204249514699,1.9604811784704759,0.9484741380784871,4.0,0.0,6.470934891597493,0.0,2.0
120,"[7, 8, 9]","Sensor8, Sensor9, Sensor10",10.433723423423302,-0.7373425364283206,1.6014589070354268,0.5696070528162005,9.0,0.0,10.433723423423306,0.0,3.0
